Appendix,Scientific_Name
APPENDIX I ,Sarracenia rubra f. jonesii
APPENDIX I ,Stangeria eriopus
APPENDIX I ,Stangeria katzeri
APPENDIX I ,Stangeria paradoxa
APPENDIX I ,Stangeria sanderiana
APPENDIX I ,Stangeria schizodon
APPENDIX I ,Ceratozamia spp.
APPENDIX I , Encephalartos spp. 
APPENDIX I ,Microcycas calocoma
APPENDIX I ,Zamia calocoma
APPENDIX I , Zamia restrepoi
APPENDIX I ,Chigua bernalii
APPENDIX I ,Chigua restrepoi
SCHEDULE III,Strobilanthes kunthianus
SCHEDULE III, Coptis teeta
SCHEDULE III,Coptis teetoides
SCHEDULE III,Helleborus teeta
SCHEDULE III,Coscinium fenestratum
SCHEDULE III,Coscinium maingayi
SCHEDULE III,Coscinium miosepalum
SCHEDULE III,Coscinium peltatum
SCHEDULE III,Coscinium usitatum
SCHEDULE III,Coscinium wallichianum
SCHEDULE III,Coscinium wightianum
SCHEDULE III,Menispermum fenestratum
SCHEDULE III,Pereiria medica
SCHEDULE III, Taxus wallichiana
SCHEDULE III,Cephalotaxus celebica
SCHEDULE III,Cephalotaxus sumatrana
SCHEDULE III,Podocarpus celebicus
SCHEDULE III,Taxus baccata subsp. wallichiana
SCHEDULE III,Taxus baccata var. wallichiana
SCHEDULE III,Taxus celebica (Warb.)
SCHEDULE III,Taxus chinensis var. yunnanensis
SCHEDULE III,Taxus contorta var. mucronata
SCHEDULE III,Taxus nucifera
SCHEDULE III,Taxus obscura
SCHEDULE III,Taxus orientalis
SCHEDULE III,Taxus phytonii
SCHEDULE III,Taxus suffnesii
SCHEDULE III,Taxus sumatrana subsp. celebica
SCHEDULE III,Taxus sumatrana subsp. obscura
SCHEDULE III,Taxus sumatrana subsp. rehderiana
SCHEDULE III,Taxus wallichiana subsp. yunnanensis (W.C.Cheng & L.K.Fu)
SCHEDULE III,Taxus wallichiana var. wallichiana
SCHEDULE III,Taxus wallichiana var. yunnanensis
SCHEDULE III,Taxus yunnanensis
SCHEDULE III, Vanda coerulea
SCHEDULE III,Vanda coerulea f. delicata
SCHEDULE III,Vanda coerulea f. luwangalba
SCHEDULE III,Vanda coerulea f. rogersii
SCHEDULE III,Vanda coerulea var. rogersii
SCHEDULE III, Nepenthes khasiana
SCHEDULE III,Nepenthes rubra
SCHEDULE III,Renanthera imschootiana
SCHEDULE III,Renanthera papilio
SCHEDULE III,Cycas spp.
SCHEDULE III, Ceropegias spp.
SCHEDULE III, Aenhenrya rotundifolia
SCHEDULE III,Aenhenrya agastyamalayana
SCHEDULE III,Anoectochilus rotundifolius
SCHEDULE III,Odontochilus rotundifolius
SCHEDULE III, Odontochilus grandiflorus
SCHEDULE III,Anoectochilus grandiflorus
SCHEDULE III,Cystopus grandiflorus
SCHEDULE III,Odontochilus trapterus
SCHEDULE III, Rhomboda pulchra
SCHEDULE III,Zeuxine pulchra
SCHEDULE III, Vrydagzynea viridiflora
SCHEDULE III, Zeuxine andamanica
SCHEDULE III, Ipsea malabarica
SCHEDULE III,Pachystoma malabaricum
SCHEDULE III,Spathoglottis malabarica
SCHEDULE III, Habenaria batesii
SCHEDULE III,Habenaria praetermissa
SCHEDULE III,Podandriella batesii
SCHEDULE III, Podophyllum hexandrum
SCHEDULE III,Dysosma emodi
SCHEDULE III,Podophyllum emodi
SCHEDULE III,Podophyllum emodi var. chinense
SCHEDULE III,Podophyllum emodi var. hexandrum
SCHEDULE III,Podophyllum hexandrum var. chinense
SCHEDULE III,Podophyllum sikkimense
SCHEDULE III,Sinopodophyllum emodi
SCHEDULE III,Sinopodophyllum hexandrum
SCHEDULE III,Sinopodophyllum hexandrum var. chinense
SCHEDULE III,Sinopodophyllum hexandrum var. emodi
SCHEDULE III,Podophyllum hexandrum
SCHEDULE III,Dysosma emodi
SCHEDULE III,Podophyllum emodi
SCHEDULE III,Podophyllum emodi var. chinense
SCHEDULE III,Podophyllum emodi var. hexandrum
SCHEDULE III,Podophyllum hexandrum var. chinense
SCHEDULE III,Podophyllum sikkimense
SCHEDULE III,Sinopodophyllum emodi
SCHEDULE III,Sinopodophyllum hexandrum
SCHEDULE III,Sinopodophyllum hexandrum var. chinense
SCHEDULE III,Sinopodophyllum hexandrum var. emodi
SCHEDULE III, Dolomiaea costus
APPENDIX II,Agave victoriae-reginae 
APPENDIX II,Nolina interrata
APPENDIX II, Yucca queretaroensi
APPENDIX II,Agavaceae
APPENDIX II,Dracaenaceae
APPENDIX II,Eriospermaceae
APPENDIX II,Hyacinthaceae
APPENDIX II,Galanthus spp. 
APPENDIX II,Sternbergia spp.
APPENDIX II,Operculicarya decaryi
APPENDIX II,Operculicarya hyphaenoides
APPENDIX II,Operculicarya pachypus 
APPENDIX II,Hoodia spp.
APPENDIX II,"Pachypodium spp. 
(Except the species included in Appendix D"
APPENDIX II,Rauvolfia serpentina 
APPENDIX II,Ophioxylon album
APPENDIX II,Ophioxylon obversum
APPENDIX II,Ophioxylon salutiferum
APPENDIX II,Ophioxylon serpentinum
APPENDIX II,Ophioxylon trifoliatum
APPENDIX II,Rauvolfia obversa
APPENDIX II,Rauvolfia serpentina var. obversa
APPENDIX II,Rauvolfia trifoliata
APPENDIX II,"Panax ginseng 
(Only the population of the Russian Federation; no oilier
population is included in the Appendices.)"
APPENDIX II,Aralia ginseng
APPENDIX II,Panax chin-seng
APPENDIX II,Panax quinquefolius var. ginseng
APPENDIX II,Panax schin-seng var. coraiensis
APPENDIX II,Panax verus
APPENDIX II,Panax quinquefolius
